LIBGEO,BV2012,LIBBV2012
Grièges,01134,Crottet - Pont-de-Veyle
Grilly,01143,Divonne-les-Bains
Groissiat,01283,Oyonnax
Groslée,38261,Morestel
Guéreins,69019,Belleville
Hautecourt-Romanèche,01053,Bourg-en-Bresse
Hauteville-Lompnes,01185,Hauteville-Lompnes
Hostiaz,01185,Hauteville-Lompnes
Hotonnes,01185,Hauteville-Lompnes
Illiat,01348,Saint-Didier-sur-Chalaronne - Thoissey
Injoux-Génissiat,01033,Bellegarde-sur-Valserine
Innimond,01034,Belley
Izenave,01185,Hauteville-Lompnes
Izernore,01283,Oyonnax
Izieu,38012,Aoste
Jassans-Riottier,69123,Lyon
Jasseron,01053,Bourg-en-Bresse
Jayat,01266,Montrevel-en-Bresse
Journans,01053,Bourg-en-Bresse
Joyeux,01443,Villars-les-Dombes
Jujurieux,01004,Ambérieu-en-Bugey
Labalme,01269,Nantua
Lagnieu,01202,Lagnieu
Laiz,01134,Crottet - Pont-de-Veyle
Lalleyriat,01269,Nantua
Lancrans,01033,Bellegarde-sur-Valserine
Lantenay,01185,Hauteville-Lompnes
Lapeyrouse,01443,Villars-les-Dombes
Lavours,01034,Belley
Léaz,01033,Bellegarde-sur-Valserine
Lélex,01173,Gex
Lent,01053,Bourg-en-Bresse
Lescheroux,01266,Montrevel-en-Bresse
Leyment,01202,Lagnieu
Leyssard,01269,Nantua
Lhôpital,74269,Seyssel
Lhuis,38261,Morestel
Lochieu,01034,Belley
Lompnas,38247,Montalieu-Vercieu
Lompnieu,01185,Hauteville-Lompnes
Loyettes,38085,Charvieu-Chavagneux
Lurcy,69019,Belleville
Magnieu,01034,Belley
Maillat,01269,Nantua
Malafretaz,01266,Montrevel-en-Bresse
Mantenay-Montlin,01266,Montrevel-en-Bresse
Manziat,01305,Pont-de-Vaux
Marboz,01266,Montrevel-en-Bresse
Marchamp,01034,Belley
Marignieu,01034,Belley
Marlieux,01443,Villars-les-Dombes
Marsonnas,01266,Montrevel-en-Bresse
Martignat,01283,Oyonnax
Massieux,69123,Lyon
Massignieu-de-Rives,73330,Yenne
Matafelon-Granges,01283,Oyonnax
Meillonnas,01053,Bourg-en-Bresse
Mérignat,01004,Ambérieu-en-Bugey
Messimy-sur-Saône,69123,Lyon
Meximieux,01244,Meximieux
Bohas-Meyriat-Rignat,01053,Bourg-en-Bresse
Mézériat,01457,Vonnas
Mijoux,01173,Gex
Mionnay,01333,Saint-André-de-Corcy
Miribel,69123,Lyon
Misérieux,69123,Lyon
Mogneneins,01348,Saint-Didier-sur-Chalaronne - Thoissey
Montagnat,01053,Bourg-en-Bresse
Montagnieu,38247,Montalieu-Vercieu
Montanges,01033,Bellegarde-sur-Valserine
Montceaux,69019,Belleville
Montcet,01053,Bourg-en-Bresse
Le Montellier,01244,Meximieux
Monthieux,01333,Saint-André-de-Corcy
Montluel,69123,Lyon
Montmerle-sur-Saône,69019,Belleville
Montracol,01053,Bourg-en-Bresse
Montréal-la-Cluse,01269,Nantua
Montrevel-en-Bresse,01266,Montrevel-en-Bresse
Nurieux-Volognat,01269,Nantua
Murs-et-Gélignieux,38012,Aoste
Nantua,01269,Nantua
Nattages,73330,Yenne
Neuville-les-Dames,01093,Châtillon-sur-Chalaronne
Neuville-sur-Ain,01004,Ambérieu-en-Bugey
Les Neyrolles,01269,Nantua
Neyron,69123,Lyon
Niévroz,69123,Lyon
Nivollet-Montgriffon,01004,Ambérieu-en-Bugey
Oncieu,01004,Ambérieu-en-Bugey
Ordonnaz,01034,Belley
Ornex,74012,Annemasse
Outriaz,01185,Hauteville-Lompnes
Oyonnax,01283,Oyonnax
Ozan,01305,Pont-de-Vaux
Parcieux,69123,Lyon
Parves,73330,Yenne
Péron,74012,Annemasse
Péronnas,01053,Bourg-en-Bresse
Pérouges,01244,Meximieux
Perrex,01457,Vonnas
Le Petit-Abergement,01185,Hauteville-Lompnes
Peyriat,01269,Nantua
Peyrieu,01034,Belley
Peyzieux-sur-Saône,01348,Saint-Didier-sur-Chalaronne - Thoissey
Pirajoux,39475,Saint-Amour
Pizay,69123,Lyon
Plagne,01033,Bellegarde-sur-Valserine
Le Plantay,01443,Villars-les-Dombes
Le Poizat,01269,Nantua
Polliat,01053,Bourg-en-Bresse
Pollieu,01034,Belley
Poncin,01004,Ambérieu-en-Bugey
Pont-d'Ain,01004,Ambérieu-en-Bugey
Pont-de-Vaux,01305,Pont-de-Vaux
Pont-de-Veyle,01134,Crottet - Pont-de-Veyle
Port,01269,Nantua
Pougny,74012,Annemasse
Pouillat,39475,Saint-Amour
Prémeyzel,01034,Belley
Prémillieu,01185,Hauteville-Lompnes
Pressiat,01053,Bourg-en-Bresse
Prévessin-Moëns,74012,Annemasse
Priay,01004,Ambérieu-en-Bugey
Pugieu,01034,Belley
Ramasse,01053,Bourg-en-Bresse
Rancé,69123,Lyon
Relevant,01093,Châtillon-sur-Chalaronne
Replonges,71270,Mâcon
Revonnas,01053,Bourg-en-Bresse
Reyrieux,69123,Lyon
Reyssouze,01305,Pont-de-Vaux
Rignieux-le-Franc,01244,Meximieux
Romans,01093,Châtillon-sur-Chalaronne
Rossillon,01034,Belley
Ruffieu,01185,Hauteville-Lompnes
Saint-Alban,01004,Ambérieu-en-Bugey
Saint-André-de-Bâgé,71270,Mâcon
Saint-André-de-Corcy,01333,Saint-André-de-Corcy
Saint-André-d'Huiriat,01134,Crottet - Pont-de-Veyle
Saint-André-le-Bouchoux,01093,Châtillon-sur-Chalaronne
Saint-André-sur-Vieux-Jonc,01053,Bourg-en-Bresse
Saint-Bénigne,01305,Pont-de-Vaux
Saint-Benoît,38022,Les Avenières
Saint-Bernard,69123,Lyon
Saint-Bois,01034,Belley
Saint-Champ,01034,Belley
Sainte-Croix,69123,Lyon
Saint-Cyr-sur-Menthon,71270,Mâcon
Saint-Denis-lès-Bourg,01053,Bourg-en-Bresse
Saint-Denis-en-Bugey,01004,Ambérieu-en-Bugey
Saint-Didier-d'Aussiat,01266,Montrevel-en-Bresse
Saint-Didier-de-Formans,69123,Lyon
Saint-Didier-sur-Chalaronne,01348,Saint-Didier-sur-Chalaronne - Thoissey
Saint-Éloi,01244,Meximieux
Saint-Étienne-du-Bois,01053,Bourg-en-Bresse
Saint-Étienne-sur-Chalaronne,01348,Saint-Didier-sur-Chalaronne - Thoissey
Saint-Étienne-sur-Reyssouze,01305,Pont-de-Vaux
Sainte-Euphémie,69123,Lyon
Saint-Genis-Pouilly,74012,Annemasse
Saint-Genis-sur-Menthon,01457,Vonnas
Saint-Georges-sur-Renon,01093,Châtillon-sur-Chalaronne
Saint-Germain-de-Joux,01033,Bellegarde-sur-Valserine
Saint-Germain-les-Paroisses,01034,Belley
Saint-Germain-sur-Renon,01093,Châtillon-sur-Chalaronne
Saint-Jean-de-Gonville,74012,Annemasse
Saint-Jean-de-Niost,01244,Meximieux
Saint-Jean-de-Thurigneux,69123,Lyon
Saint-Jean-le-Vieux,01004,Ambérieu-en-Bugey
Saint-Jean-sur-Reyssouze,01305,Pont-de-Vaux
Saint-Jean-sur-Veyle,01134,Crottet - Pont-de-Veyle
Sainte-Julie,01202,Lagnieu
Saint-Julien-sur-Reyssouze,01266,Montrevel-en-Bresse
Saint-Julien-sur-Veyle,01457,Vonnas
Saint-Just,01053,Bourg-en-Bresse
Saint-Laurent-sur-Saône,71270,Mâcon
Saint-Marcel,01333,Saint-André-de-Corcy
Saint-Martin-de-Bavel,01034,Belley
Saint-Martin-du-Frêne,01269,Nantua
Saint-Martin-du-Mont,01053,Bourg-en-Bresse
Saint-Martin-le-Châtel,01266,Montrevel-en-Bresse
Saint-Maurice-de-Beynost,69123,Lyon
Saint-Maurice-de-Gourdans,01244,Meximieux
Saint-Maurice-de-Rémens,01004,Ambérieu-en-Bugey
Saint-Nizier-le-Bouchoux,01266,Montrevel-en-Bresse
Saint-Nizier-le-Désert,01443,Villars-les-Dombes
Sainte-Olive,01443,Villars-les-Dombes
Saint-Paul-de-Varax,01053,Bourg-en-Bresse
Saint-Rambert-en-Bugey,01004,Ambérieu-en-Bugey
Saint-Rémy,01053,Bourg-en-Bresse
Saint-Sorlin-en-Bugey,01202,Lagnieu
Saint-Sulpice,01266,Montrevel-en-Bresse
Saint-Trivier-de-Courtes,01305,Pont-de-Vaux
Saint-Trivier-sur-Moignans,01093,Châtillon-sur-Chalaronne
Saint-Vulbas,01202,Lagnieu
Salavre,39475,Saint-Amour
Samognat,01283,Oyonnax
Sandrans,01093,Châtillon-sur-Chalaronne
Sault-Brénaz,38247,Montalieu-Vercieu
Sauverny,01173,Gex
Savigneux,69123,Lyon
Ségny,01173,Gex
Seillonnaz,38247,Montalieu-Vercieu
Sergy,74012,Annemasse
Sermoyer,71158,Cuisery
Serrières-de-Briord,38247,Montalieu-Vercieu
Serrières-sur-Ain,01053,Bourg-en-Bresse
Servas,01053,Bourg-en-Bresse
Servignat,01305,Pont-de-Vaux
Seyssel,74269,Seyssel
Simandre-sur-Suran,01053,Bourg-en-Bresse
Songieu,01185,Hauteville-Lompnes
Sonthonnax-la-Montagne,01283,Oyonnax
Souclin,01202,Lagnieu
Sulignat,01457,Vonnas
Surjoux,74269,Seyssel
Sutrieu,01185,Hauteville-Lompnes
Talissieu,01034,Belley
Tenay,01185,Hauteville-Lompnes
Thézillieu,01185,Hauteville-Lompnes
Thil,69123,Lyon
Thoiry,74012,Annemasse
Thoissey,01348,Saint-Didier-sur-Chalaronne - Thoissey
Torcieu,01004,Ambérieu-en-Bugey
Tossiat,01053,Bourg-en-Bresse
Toussieux,69123,Lyon
Tramoyes,69123,Lyon
La Tranclière,01053,Bourg-en-Bresse
Treffort-Cuisiat,01053,Bourg-en-Bresse
Trévoux,69123,Lyon
Valeins,01093,Châtillon-sur-Chalaronne
Vandeins,01457,Vonnas
Varambon,01004,Ambérieu-en-Bugey
Vaux-en-Bugey,01202,Lagnieu
Verjon,39475,Saint-Amour
Vernoux,01305,Pont-de-Vaux
Versailleux,01443,Villars-les-Dombes
Versonnex,01173,Gex
Vesancy,01173,Gex
Vescours,01305,Pont-de-Vaux
Vésines,71270,Mâcon
Vieu-d'Izenave,01269,Nantua
Vieu,01034,Belley
Villars-les-Dombes,01443,Villars-les-Dombes
Villebois,38247,Montalieu-Vercieu
Villemotier,39475,Saint-Amour
Villeneuve,69123,Lyon
Villereversure,01053,Bourg-en-Bresse
Villes,01033,Bellegarde-sur-Valserine
Villette-sur-Ain,01004,Ambérieu-en-Bugey
Villieu-Loyes-Mollon,01244,Meximieux
Viriat,01053,Bourg-en-Bresse
Virieu-le-Grand,01034,Belley
Virieu-le-Petit,01034,Belley
Virignin,73330,Yenne
Vongnes,01034,Belley
Vonnas,01457,Vonnas
Abbécourt,02173,Chauny
Achery,02738,Tergnier
Acy,02722,Soissons
Agnicourt-et-Séchelles,02468,Marle
Aguilcourt,51454,Reims
Aisonville-et-Bernoville,02095,Bohain-en-Vermandois
Aizelles,51454,Reims
Aizy-Jouy,02722,Soissons
Alaincourt,02691,Saint-Quentin
Allemant,02018,Pinon
Ambleny,02795,Vic-sur-Aisne
Ambrief,02722,Soissons
Amifontaine,51454,Reims
Amigny-Rouy,02738,Tergnier
Ancienville,02810,Villers-Cotterêts
Andelain,02738,Tergnier
Anguilcourt-le-Sart,02738,Tergnier
Anizy-le-Château,02018,Pinon
Annois,80410,Ham
Any-Martin-Rieux,02381,Hirson
Archon,02381,Hirson
Arcy-Sainte-Restitue,02305,Fère-en-Tardenois
Armentières-sur-Ourcq,02305,Fère-en-Tardenois
Arrancy,02408,Laon
Artemps,02691,Saint-Quentin
Artonges,51380,Montmirail
Assis-sur-Serre,02408,Laon
Athies-sous-Laon,02408,Laon
Attilly,02691,Saint-Quentin
Aubencheul-aux-Bois,59139,Caudry
Aubenton,02381,Hirson
Aubigny-aux-Kaisnes,80410,Ham
Aubigny-en-Laonnois,51454,Reims
Audignicourt,02795,Vic-sur-Aisne
Audigny,02361,Guise
Augy,02722,Soissons
Aulnois-sous-Laon,02408,Laon
Les Autels,02381,Hirson
Autremencourt,02468,Marle
Autreppes,02789,Vervins
Autreville,02173,Chauny
Azy-sur-Marne,02168,Château-Thierry
Bagneux,02722,Soissons
Bancigny,02789,Vervins
Barenton-Bugny,02408,Laon
Barenton-Cel,02408,Laon
Barenton-sur-Serre,02408,Laon
Barisis-aux-Bois,02738,Tergnier
Barzy-en-Thiérache,02558,Le Nouvion-en-Thiérache
Barzy-sur-Marne,51217,Dormans
Bassoles-Aulers,02018,Pinon
Baulne-en-Brie,02168,Château-Thierry
Bazoches-sur-Vesles,51250,Fismes
Beaumé,02381,Hirson
Beaumont-en-Beine,80410,Ham
Beaurevoir,59139,Caudry
Beaurieux,51250,Fismes
Beautor,02738,Tergnier
Beauvois-en-Vermandois,80410,Ham
Becquigny,02095,Bohain-en-Vermandois
Belleau,02168,Château-Thierry
